architecture,total_requests,completed_requests,total_duration_sec,throughput_req_per_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_queue_wait_sec,retries,timeouts,crashes
monolithic,1,1,1.216193,0.8222379178304758,1.216193,1.216193,1.216193,0.0,0,0,0
master_worker,1,1,0.624564,1.6011169391767697,0.614564,0.614564,0.614564,0.2715258,0,0,0
master_worker,1,1,0.323998,3.0864388051778096,0.314999,0.314999,0.314999,0.1178781,0,0,0
queue_based,1,1,1.821826,0.5488998400505867,1.64592,1.64592,1.64592,0.3038008888888889,0,0,0
queue_based,1,1,1.52483,0.6558108116970417,1.352849,1.352849,1.352849,0.13489322222222222,0,0,0
monolithic,1,1,0.53116,1.8826718879433693,0.53116,0.53116,0.53116,0.0,0,0,0
master_worker,1,1,0.556691,1.7963286634775844,0.546691,0.546691,0.546691,0.0002,0,0,0
queue_based,1,1,1.63254,0.6125424185624854,1.44948,1.44948,1.44948,0.0,0,0,0
