run_name,architecture,total_requests,completed_requests,total_duration_sec,throughput_req_per_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_queue_wait_sec,retries,timeouts,crashes,api_429_errors,max_active_workers
run_00_monolithic_TA_W1,monolithic,10,10,1252.561496,0.007983639950560959,121.774778,145.13143845000002,146.78265329000004,0.0,0,0,0,0,1
run_00_monolithic_TA_W1,monolithic,10,10,1260.496726,0.007933380383885264,120.77369250000001,162.19833195000004,169.08957279000003,0.0,0,0,0,0,1
run_00_monolithic_TA_W1,monolithic,10,10,1358.50794,0.007361016969838248,135.427336,157.13570079999997,158.29107216,0.0,0,0,0,0,1
run_01_master_worker_TA_W2,master_worker,10,10,658.960538,0.015175415557281823,65.8615355,68.25269499999999,68.86188379999999,31.43064468125,0,0,0,0,2
run_01_master_worker_TA_W2,master_worker,10,10,664.142929,0.01505699987660337,66.387361,67.89063374999999,68.05003475,31.6867143296875,0,0,0,0,2
run_01_master_worker_TA_W2,master_worker,10,10,662.447094,0.015095545124392982,66.061438,67.58859064999999,67.59709013,31.5769997796875,0,0,0,0,2
run_02_master_worker_TA_W4,master_worker,10,10,332.773228,0.0300504943264246,33.219274,33.9923702,34.042510840000006,15.0540244171875,0,0,0,0,4
run_02_master_worker_TA_W4,master_worker,10,10,341.417193,0.0292896790349981,34.0494035,34.82478385,34.851735170000005,15.3756448625,0,0,0,0,4
run_02_master_worker_TA_W4,master_worker,10,10,337.425712,0.029636152920083342,33.816404000000006,34.53864015,34.61487763,15.231474640625,0,0,0,0,4
run_03_master_worker_TA_W16,master_worker,10,10,97.943584,0.10209959235308358,9.691859000000001,10.45482555,10.58891951,3.0399067953125,0,0,0,0,16
run_03_master_worker_TA_W16,master_worker,10,10,98.811346,0.10120295294833855,9.865793499999999,10.850564900000002,11.109496980000001,3.058768853125,0,0,0,0,16
run_03_master_worker_TA_W16,master_worker,10,10,97.19224,0.10288887260958282,9.7108405,10.056218499999998,10.0644157,3.0290185046875,0,0,0,0,16
run_04_master_worker_TA_W32,master_worker,10,10,54.044425,0.1850329613091452,5.3630475,6.1381422,6.343286040000001,1.0067104875,0,0,0,0,32
run_04_master_worker_TA_W32,master_worker,10,10,67.9399,0.14718891255359517,5.521924,15.95691685,17.770628970000004,1.004795953125,0,0,0,0,32
run_04_master_worker_TA_W32,master_worker,10,10,59.421504,0.16828924424396932,5.472722,11.81656685,13.585566170000002,1.0139591890625,0,0,0,0,32
run_05_queue_based_TA_W2,queue_based,10,10,652.47637,0.015326225530588947,62.519543999999996,74.33482695,74.44297499,31.0798924484375,0,0,0,0,2
run_05_queue_based_TA_W2,queue_based,10,10,659.056111,0.015173214894899898,66.010643,75.86829659999998,76.51871691999999,31.468639503125,0,0,0,0,2
run_05_queue_based_TA_W2,queue_based,10,10,671.096616,0.014900984093175638,68.5266075,76.13388459999999,77.69483211999999,31.851280875,0,0,0,0,2
run_06_queue_based_TA_W4,queue_based,10,10,331.703728,0.030147385018235308,33.0549325,37.26339845,37.43497248999999,14.977717753125,0,0,0,0,4
run_06_queue_based_TA_W4,queue_based,10,10,339.953633,0.029415776239108463,34.5060455,35.8620537,35.904806740000005,15.122857292644758,0,0,0,0,4
run_06_queue_based_TA_W4,queue_based,10,10,330.825433,0.030227422085774162,32.79534700000001,36.34840405,36.67800321,14.762856390625,0,0,0,0,4
run_07_queue_based_TA_W8,queue_based,10,10,176.277185,0.05672883873202309,17.5157905,19.627390549999994,19.86868611,6.855271228840126,0,0,0,0,8
run_07_queue_based_TA_W8,queue_based,10,10,176.386742,0.056693603422869505,17.68018,18.3094068,18.32180776,7.013417690625,0,0,0,0,8
run_07_queue_based_TA_W8,queue_based,10,10,174.161956,0.05741782091606734,17.471854999999998,18.131289700000004,18.16406354,6.9161861968750005,0,0,0,0,8
run_08_queue_based_TA_W16,queue_based,10,10,98.343368,0.10168453860559261,9.769196,10.622097500000002,10.759742700000002,3.0041605734375,0,0,0,0,16
run_08_queue_based_TA_W16,queue_based,10,10,105.105829,0.09514220186589271,10.123762500000002,15.898027550000002,17.527945510000002,3.0669273921875,0,0,0,0,16
run_08_queue_based_TA_W16,queue_based,10,10,112.496011,0.0888920408031179,9.969267,28.58608935,34.08217467,3.0300958796875,0,0,0,0,16
run_09_queue_based_TA_W32,queue_based,10,10,105.044245,0.09519798062235585,6.1148615,29.62530835,32.95547607,1.0653303198127926,0,0,0,0,32
run_09_queue_based_TA_W32,queue_based,10,10,70.447829,0.14194901591644507,5.718621,24.264946799999997,29.775913359999993,1.0320703120124806,0,0,0,0,32
run_09_queue_based_TA_W32,queue_based,10,10,95.566883,0.10463875859590398,5.8748415000000005,51.70019514999999,64.37608783,1.130933535101404,0,0,0,0,32
run_10_swarm_TA_W4,swarm,10,10,343.535124,0.029109105012505215,34.0378985,38.63978875,39.744230550000005,15.2616232078125,0,0,0,0,4
run_10_swarm_TA_W4,swarm,10,10,339.772676,0.029431442568383575,34.0901095,34.509224849999995,34.55375856999999,15.2259890375,0,0,0,0,4
run_10_swarm_TA_W4,swarm,10,10,338.542607,0.02953837949265866,34.053912499999996,35.0345175,35.2638323,15.26291735,0,0,0,0,4
run_11_swarm_TA_W8,swarm,10,10,176.830211,0.05655142265254663,17.6041305,18.64215205,18.80844961,7.0742185484375,0,0,0,0,8
run_11_swarm_TA_W8,swarm,10,10,178.229733,0.056107361166276334,17.731968000000002,18.708165350000005,18.827336270000004,7.0559979359375005,0,0,0,0,8
run_11_swarm_TA_W8,swarm,10,10,182.060209,0.05492688410568616,17.8360275,23.659479200000007,25.306397440000005,7.0776960109375,0,0,0,0,8
run_12_swarm_TA_W16,swarm,10,10,96.801348,0.10330434654690965,9.617853,10.54865135,10.69071987,3.0230963875,0,0,0,0,16
run_12_swarm_TA_W16,swarm,10,10,97.326448,0.1027469943216257,9.796239499999999,10.152535549999998,10.18623031,3.0672335359375,0,0,0,0,16
run_12_swarm_TA_W16,swarm,10,10,95.800981,0.10438306472039155,9.557974999999999,9.94054525,9.97072265,3.04647544375,0,0,0,0,16
run_13_swarm_TA_W32,swarm,10,10,53.979377,0.18525593579933314,5.373439,6.408253050000001,6.63319381,1.0093079796875,0,0,0,0,32
run_13_swarm_TA_W32,swarm,10,10,52.373735,0.1909353992034366,5.3886365000000005,6.1234772,6.283028239999998,1.017820709375,0,0,0,0,32
run_13_swarm_TA_W32,swarm,10,10,52.253354,0.191375275164155,5.2621975,6.293731600000001,6.409692720000001,1.0193116546875,0,0,0,0,32
run_14_monolithic_TB_W1,monolithic,10,10,89.379124,0.11188294931151932,11.722999,14.43490675,14.788330150000002,0.0,0,0,0,0,1
run_14_monolithic_TB_W1,monolithic,10,10,66.294181,0.1508428017234273,3.795421,19.350096649999998,20.833476129999998,0.0,0,0,0,0,1
run_14_monolithic_TB_W1,monolithic,10,10,59.848097,0.167089690420733,2.4982935,15.3029011,15.38764422,0.0,0,0,0,0,1
run_15_master_worker_TB_W2,master_worker,10,10,58.609155,0.17062180814584343,2.6297835000000003,14.33137735,14.685798669999999,0.00021765217391304348,0,0,0,0,2
run_15_master_worker_TB_W2,master_worker,10,10,59.61522,0.1677423986693331,2.461011,14.3408398,14.56037516,0.0002171304347826087,0,0,0,0,2
run_15_master_worker_TB_W2,master_worker,10,10,72.105235,0.13868618554533524,4.9615355,17.240660150000004,18.304284029999998,0.00022416666666666668,0,0,0,0,2
run_16_queue_based_TB_W2,queue_based,10,10,199.813649,0.050046631198852685,14.414921,30.1075896,30.112978719999997,0.00018097297297297297,0,0,0,0,2
