architecture,total_requests,completed_requests,total_duration_sec,throughput_req_per_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_queue_wait_sec,retries,timeouts,crashes
monolithic,1,1,1.230421,0.8127299517807319,1.230421,1.230421,1.230421,0.0,0,0,0
master_worker,1,1,0.633302,1.5790254886294375,0.618669,0.618669,0.618669,0.2762735,0,0,0
master_worker,1,1,0.319849,3.1264753055347994,0.30985,0.30985,0.30985,0.11960775,0,0,0
queue_based,1,1,0.724416,1.3804222987896457,0.710415,0.710415,0.710415,0.2697505,0,0,0
queue_based,1,1,0.430631,2.3221737403949088,0.41963,0.41963,0.41963,0.1251092,0,0,0
monolithic,1,1,0.549775,1.8189259242417353,0.549775,0.549775,0.549775,0.0,0,0,0
master_worker,1,1,0.548564,1.8229413523308127,0.538577,0.538577,0.538577,0.0002002,0,0,0
queue_based,1,1,0.64508,1.550195324610901,0.63308,0.63308,0.63308,0.0,0,0,0
master_worker,1,1,1.260017,0.7936400858083661,1.249932,1.249932,1.249932,0.30072,0,0,0
queue_based,1,1,0.677551,1.4759036589127608,0.664984,0.664984,0.664984,0.14821885,0,0,0
master_worker,1,1,2.058268,0.48584538067928956,2.048266,2.048266,2.048266,0.00019980000000000003,0,0,0
queue_based,1,1,2.094178,0.4775143278174062,2.082078,2.082078,2.082078,0.0,0,0,0
