architecture,total_requests,completed_requests,total_duration_sec,throughput_req_per_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_queue_wait_sec,retries,timeouts,crashes
monolithic,1,1,0.934874,1.069662863658632,0.934874,0.934874,0.934874,0.0,0,0,0
master_worker,1,1,0.600406,1.6655396515024834,0.584405,0.584405,0.584405,0.25892455,0,0,0
master_worker,1,1,0.318507,3.1396484221696856,0.306506,0.306506,0.306506,0.11478730000000001,0,0,0
queue_based,1,1,0.672295,1.4874422686469482,0.659296,0.659296,0.659296,0.2359191,0,0,0
queue_based,1,1,0.431841,2.315667108959085,0.418249,0.418249,0.418249,0.11056885,0,0,0
queue_based,1,1,0.305972,3.268272913861399,0.289972,0.289972,0.289972,0.04177405,0,0,0
monolithic,1,1,0.536081,1.8653897452064145,0.536081,0.536081,0.536081,0.0,0,0,0
master_worker,1,1,0.547172,1.8275788965809654,0.534673,0.534673,0.534673,0.00019940000000000002,0,0,0
queue_based,1,1,0.685034,1.4597815582876177,0.673034,0.673034,0.673034,0.0,0,0,0
queue_based,1,1,0.588731,1.6985686162271054,0.57515,0.57515,0.57515,0.14022495000000001,0,0,0
queue_based,1,1,0.68275,1.4646649578908826,0.669141,0.669141,0.669141,0.1501644,0,0,0
queue_based,1,1,1.179682,0.8476860713310876,1.165682,1.165682,1.165682,0.13700445,0,0,0
master_worker,1,1,2.012558,0.4968800899154211,2.001559,2.001559,2.001559,0.00039979999999999996,0,0,0
queue_based,1,1,2.11022,0.4738842395579608,2.097221,2.097221,2.097221,0.0,0,0,0
swarm,1,1,0.084368,11.852835198179404,0.074807,0.074807,0.074807,0.00025,0,0,0
swarm,1,1,0.47246,2.116581297887652,0.462846,0.462846,0.462846,0.0,0,0,0
swarm,1,1,0.08815,11.344299489506522,0.07915,0.07915,0.07915,0.00020005,0,0,0
master_worker,1,1,0.266896,3.746777771116839,0.254319,0.254319,0.254319,0.0817649,0,0,5
queue_based,1,1,34.309546,0.029146407241879564,34.295547,34.295547,34.295547,0.0009506,0,0,17
