architecture,task_type,failure_mode,wall_clock_time_mean,wall_clock_time_std,wall_clock_time_count,util_busy_pct_mean,util_idle_pct_mean,util_blocked_pct_mean
master_worker,A,crash,7.339540958404541,2.287956204402225,3,3.4491042749657645,41.69707032901155,54.85382539602269
master_worker,A,none,7.20711772441864,1.384837794194991,10,5.796312802811584,55.8130524850141,38.39063471217431
master_worker,A,straggler,7.546464204788208,0.2819733727146246,3,5.118055937310043,40.86806751541862,54.01387654727134
master_worker,B,crash,65.05853199958801,3.1474151173717266,3,23.500357173964233,48.2352888853035,28.264353940732267
master_worker,B,none,63.014657974243164,1.166750772836646,3,24.781524415458392,46.6216415880069,28.59683399653471
master_worker,B,straggler,61.65195902188619,2.5256064909437526,3,23.182013501730363,48.00208208796905,28.8159044103006
monolithic,A,crash,17.860525965690613,0.8159180739942475,6,8.944782679892619,1.3674147388971516,89.68780258121024
monolithic,A,none,13.428267404437065,5.50975398643504,16,17.384335935181504,26.851043223574425,55.76462084124407
monolithic,A,straggler,17.15500322977702,1.5440903458086621,6,10.482855988607778,0.8111195195289116,88.70602449186332
monolithic,B,crash,53.75930297374725,11.808344905385495,4,65.72440304387145,0.3503651861497735,33.92523176997878
monolithic,B,none,61.813892682393394,4.151396914597657,6,68.50687712039111,0.2189569889112383,31.27416589069765
monolithic,B,straggler,59.88117345174154,1.1820082171169333,3,63.45180539697037,0.4932304068314381,36.05496419619818
queue_based,A,crash,17.880788723627727,0.20567342581725737,3,2.1703857830431224,61.61144073231427,36.218173484642605
queue_based,A,none,8.31914758682251,1.5906196537164836,9,6.2308630006162,44.84221410428859,37.8158117839841
queue_based,A,straggler,7.78209129969279,1.0816177570284764,3,4.7353645111831675,20.24720881196706,75.01742667684978
queue_based,B,crash,32.17354726791382,0.4364660699855169,3,2.9563437612004333,76.58065860590163,20.462997632897938
queue_based,B,none,32.88560930887858,0.20139718914447116,3,22.70060589802392,50.98900093471783,26.310393167258255
queue_based,B,straggler,32.6066829363505,0.3485932865596551,3,20.660716307787272,50.50263879155286,28.836644900659866
swarm,A,crash,5.3062477906545,1.4426909774959653,3,25.908561831952664,32.09605145279976,41.99538671524758
swarm,A,none,6.491186406877306,0.5235168528936497,9,5.424271242988207,32.75760915276251,61.81811960424929
swarm,A,straggler,8.795872926712036,0.5367638985725298,3,3.286251441188813,52.86222322099246,43.851525337818735
swarm,B,crash,2.8269290129343667,0.2639136907874655,3,72.53433599573725,9.791650431126895,17.674013573135856
swarm,B,none,67.52081716060638,13.570964990408909,4,24.28704697415665,66.97045761794487,8.742495407898474
swarm,B,straggler,72.2930560906728,3.806361689866345,3,25.165243316024714,61.75441199945438,13.080344684520908
